% Model,cylinder.mph
% Version,COMSOL 6.1.0.282
% Date,"Oct 30 2024, 18:57"
% Table,Table 4 - Surface Integration 1
% h0 (A/m),Eigenfrequency (Hz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1)
4000000,1.42601872446899E11-0.0010741007355995922i,-3.876966747581894E-4,0.5042651870353643,-6.469732514046303E-4,-0.001249569651581909,1.753230899299177E-4,-2.418872863461513E-4
4000000,1.427435485850167E11-70.88852729246717i,0.10025259883289607,-5.699312099078029E-5,-0.026250340523596268,7.395735702472159E-5,-2.455149049611538E-4,-1.4438977083745393E-4
4000000,1.4275096159990424E11+81.63355811631541i,-0.07116928483998877,1.401392574717502E-4,0.06477104444215989,-4.359517962914479E-5,-2.0277873932528136E-4,1.3924136125770172E-4
4000000,1.4280780421730463E11-1023.480623392573i,-0.06874066634222055,-5.119219463630246E-5,-0.006452725350034326,1.292266886563804E-4,-3.4057942898432694E-4,-1.6563526745809682E-4
4250000,1.5071436526097736E11+1.0577445378213831E-4i,7.889269534648927E-5,-0.01708399267722861,-1.173907305068354E-4,2.6978577114525137E-4,-3.660967508689616E-5,-8.310752372526726E-4
4250000,1.5087521444633597E11-2.385007848453774E-4i,3.951764959100797E-4,-0.3826275532777933,6.055561854809199E-4,0.0011060182758591292,-1.478511092146232E-4,3.247968792583246E-4
4250000,1.51395183410815E11-0.001969209766449972i,-4.985260799286251E-4,0.6818824422196089,-9.484994418014882E-4,-0.0015787566735362205,2.214822132751051E-4,-7.418291582466027E-4
4250000,1.5153731321910138E11-4.234332977861514i,-0.09448212883991756,-1.1172664389554175E-4,0.0263355688316528,1.6854872785130361E-4,8.29844046841173E-5,-1.645312527843876E-4
4250000,1.515442756053476E11+1.0089255381906161i,-0.01802341590331673,8.568815769429982E-5,0.017471208234247484,1.6160009218903003E-4,9.369290280098761E-4,-2.3583543753537633E-4
4250000,1.5160149412422064E11-353.92011333799786i,0.13861228128136355,-3.936662986639681E-5,0.02105001826439187,-8.657967063267324E-6,-5.833227741116886E-4,-6.434594537107468E-5
4500000,1.595076774260362E11-1.5912005175662815E-4i,4.551680905592236E-5,0.023500005620898202,-1.760719408957349E-4,1.667121475609749E-4,-1.8843518004605514E-5,-8.33211253927776E-4
4500000,1.5966852875803162E11-9.297706245882144E-5i,-2.239509672912728E-4,0.19426395506639313,-2.5194446277924097E-4,-6.362980003378873E-4,8.60235293833791E-5,1.5982369309961927E-4
4500000,1.60188494336211E11+0.015254129070235333i,-4.3128709047992263E-4,0.6454396567930561,-0.0010117169349186347,-0.0013213640104493586,1.856878879584659E-4,-0.0013439690224913703
4500000,1.6033102803409323E11-68.016391047502i,0.1282547674361787,3.292015415962292E-5,-0.04260270305799334,-1.1102489453888658E-4,-2.0860664408433455E-4,6.950128380859395E-5
4500000,1.6033758923825714E11-115.15449034899449i,0.07733677947342306,-1.2331163080689833E-4,-0.06006726825203725,4.853016183780127E-5,2.5476555146996876E-4,-1.4064649668531334E-4
4500000,1.6039514256914844E11+1639.5272850067504i,-0.28403889111906555,-2.811734219864334E-5,-0.031270303580195745,2.0312696150556677E-4,2.40959293822186E-4,-1.497200493638771E-4
4750000,1.6830098943223312E11+1.0117586004285764E-4i,5.113018345369113E-5,0.021187945637474923,-1.8104028817715595E-4,1.8691395270485655E-4,-2.20675341770172E-5,-8.841804906858254E-4
4750000,1.6846184268974283E11+1.7739636183855786E-4i,1.5914203647633728E-4,-0.1123202383848158,4.818193272492058E-5,5.154420110143436E-4,-6.912975770229188E-5,-6.287275178460464E-4
4750000,1.6898180522898602E11+8.542171232763908E-4i,-5.654685003570468E-4,0.7949778670508278,-0.0011509723518472296,-0.0017717712838750017,2.4863804468938384E-4,-0.0011190653632754712
4750000,1.6912470093501093E11-31.52198460472151i,-0.09131095423355395,6.563964576463766E-5,0.023673793796050467,-8.639559043987566E-5,3.0707615680888216E-4,1.545181837993407E-4
4750000,1.691309024879675E11+165.69500340295735i,0.06852536432866586,-1.310753903382813E-4,-0.06219080568275927,5.5762513091540066E-5,3.0761473145397367E-4,-1.5490989404090896E-4
4750000,1.691887567821845E11-2330.995603395099i,0.2288031660254588,3.536210188445158E-5,0.028510860537459715,-2.0145483049102957E-4,7.773381574235731E-5,1.9105335411943763E-4
5000000,1.7709430130271542E11-2.4011557359898748E-4i,-5.3591758231386676E-5,0.05567824975403183,-6.361704169232613E-5,-1.6655630363321557E-4,2.7145986528475053E-5,9.25452029100853E-5
5000000,1.772551562971332E11-2.0618739968601728E-4i,3.5930121532625674E-4,-0.3387065566217513,5.07803157421169E-4,0.0010126909095507647,-1.365071917304454E-4,1.2948070864906777E-4
5000000,1.7777511609390472E11-0.0028742021608551553i,-5.108261859799418E-4,0.7020693726925308,-9.836941174092007E-4,-0.0016133178386653797,2.2653505583978162E-4,-8.038311873464973E-4
5000000,1.7791833786524826E11-0.3606732206408649i,-0.10910845524231692,-1.0448338351422175E-4,0.03034201964626891,1.5803574429294168E-4,6.437431143959142E-5,-1.4380627290880055E-4
5000000,1.779242156350593E11-32.96115102701346i,-0.010611672242014984,7.066901963532654E-5,0.010887837476218428,1.6265243531065276E-4,0.0010214449802104773,-2.4403124651565817E-4
5000000,1.7798233601781885E11+260.63459625647613i,-0.21731021579978652,3.081502369167869E-5,-0.031733629790121363,7.361937609814305E-5,6.638470377980888E-4,3.0338446717225365E-6
